# EPIC-KITCHENS object mask coverage
# 1059 categories · splits: train, val
# coverage = nonzero pixels / total pixels
#
#  median     mean      p10      p90      n  name
   0.0022   0.0022   0.0022   0.0022      1  cucumber bits
   0.0022   0.0030   0.0008   0.0061     35  bottle cap
   0.0022   0.0021   0.0019   0.0024      4  chop stick
   0.0022   0.0026   0.0019   0.0036      7  clip top jar seal
   0.0021   0.0024   0.0010   0.0043      7  pepper container lid
   0.0021   0.0035   0.0008   0.0090     44  lemon squeezer piece
   0.0021   0.0023   0.0009   0.0039      5  fat
   0.0021   0.0016   0.0009   0.0022      3  peanut ramekin
   0.0021   0.0021   0.0021   0.0021      1  bay leaf
   0.0020   0.0073   0.0013   0.0180      5  stock cube package
   0.0020   0.0020   0.0014   0.0026      2  garlic peel
   0.0020   0.0020   0.0016   0.0024      5  pod
   0.0020   0.0018   0.0009   0.0024      5  gravy cube
   0.0020   0.0015   0.0007   0.0021      5  carrot end
   0.0020   0.0020   0.0020   0.0020      1  sponge handle
   0.0020   0.0017   0.0008   0.0025      4  clothespin
   0.0019   0.0019   0.0017   0.0022      2  vinegar bottle lid
   0.0019   0.0022   0.0011   0.0036      8  coffee pod
   0.0019   0.0024   0.0011   0.0039      3  garlic piece
   0.0019   0.0019   0.0012   0.0026      4  cork
   0.0019   0.0019   0.0017   0.0021      2  heat
   0.0019   0.0021   0.0015   0.0029      5  gin bottle lid
   0.0018   0.0018   0.0016   0.0021      2  peach pit
   0.0018   0.0018   0.0012   0.0023      4  scrabber
   0.0018   0.0040   0.0009   0.0097      7  rubbish peel
   0.0017   0.0017   0.0017   0.0017      1  courgette bit
   0.0017   0.0016   0.0008   0.0024      3  spreading knife
   0.0017   0.0019   0.0006   0.0031      8  lemon slice
   0.0017   0.0025   0.0003   0.0068     22  bottle lid
   0.0017   0.0024   0.0012   0.0042     45  scourer
   0.0017   0.0017   0.0007   0.0026     45  thermometer
   0.0017   0.0020   0.0012   0.0032      6  filter holder
   0.0017   0.0017   0.0017   0.0017      1  dish brush
   0.0016   0.0026   0.0014   0.0030     10  chef knife
   0.0016   0.0016   0.0016   0.0016      1  cow milk
   0.0016   0.0016   0.0013   0.0019      2  salt cap
   0.0016   0.0016   0.0005   0.0024     11  milk bottle lid
   0.0016   0.0016   0.0016   0.0016      1  folk
   0.0016   0.0016   0.0016   0.0016      1  nylon
   0.0016   0.0018   0.0009   0.0027      7  caper
   0.0015   0.0024   0.0005   0.0046      3  tablet
   0.0015   0.0015   0.0015   0.0015      2  pepper bit
   0.0014   0.0017   0.0009   0.0027      3  vinegar cap
   0.0014   0.0023   0.0009   0.0042      5  steel wool
   0.0013   0.0013   0.0006   0.0021      2  pepper bits
   0.0013   0.0029   0.0010   0.0057      5  dial
   0.0013   0.0152   0.0010   0.0332     10  leek pieces
   0.0013   0.0018   0.0005   0.0038     10  seal
   0.0013   0.0013   0.0006   0.0019      2  rice vinegar lid
   0.0012   0.0010   0.0004   0.0015      3  tea bag
   0.0012   0.0012   0.0012   0.0012      1  cheese bit
   0.0012   0.0012   0.0011   0.0013      3  bottle opener
   0.0012   0.0018   0.0004   0.0034      3  onion peeling
   0.0012   0.0012   0.0012   0.0012      1  pizza topping
   0.0012   0.0011   0.0008   0.0014     11  gas temperature
   0.0012   0.0011   0.0009   0.0013      4  knob
   0.0011   0.0016   0.0008   0.0025      3  scrap
   0.0010   0.0013   0.0003   0.0025    106  teaspoon
   0.0009   0.0037   0.0004   0.0039     80  switch
   0.0009   0.0012   0.0008   0.0019      5  cucumber end
   0.0009   0.0012   0.0002   0.0026     12  stirrer
   0.0008   0.0015   0.0003   0.0034      7  wooden stirrer
   0.0008   0.0022   0.0007   0.0042      3  onion pieces
   0.0008   0.0008   0.0005   0.0011      2  thermometer sheath
   0.0008   0.0008   0.0008   0.0008      1  teabag
   0.0008   0.0008   0.0008   0.0008      1  thermometer case
   0.0007   0.0007   0.0007   0.0007      1  stalk
   0.0007   0.0007   0.0005   0.0009      2  bits
   0.0007   0.0007   0.0007   0.0007      1  vegetable peeling
   0.0007   0.0007   0.0007   0.0007      1  plastic ring
   0.0007   0.0010   0.0004   0.0020      4  vegetable piece
   0.0007   0.0007   0.0007   0.0007      1  laundry pod
   0.0006   0.0086   0.0004   0.0184     10  trash
   0.0006   0.0008   0.0005   0.0012      3  washing up soap
   0.0006   0.0006   0.0006   0.0006      1  timer button
   0.0006   0.0005   0.0002   0.0007      5  button
   0.0005   0.0004   0.0003   0.0005      3  pork piece
   0.0005   0.0005   0.0005   0.0005      1  white bit
   0.0004   0.0004   0.0004   0.0004      1  spring onion root
   0.0004   0.0004   0.0004   0.0004      1  elastic wrap
   0.0004   0.0006   0.0002   0.0011      6  sticker
   0.0003   0.0006   0.0002   0.0012      4  oil container lid
   0.0003   0.0003   0.0002   0.0005      4  bit
   0.0002   0.0002   0.0002   0.0002      1  pasta piece
   0.0001   0.0001   0.0001   0.0002      2  ice piece
